ESTRATÉGIA ASSIMETRIA DE BAIXA;ASSIMETRIA ONLY;ENTROPIA ONLY;ESTRATÉGIA COM ASSIMETRIA DE ALTA;Data
1,0164605;1,016403205;0,984850632;0,899210136;26/01/2012
1,011491047;1,013635988;0,982172424;0,898212872;27/01/2012
1,014180193;1,013251173;0,985206081;0,900458348;30/01/2012
1,019209785;1,018527463;0,989406129;0,90405655;31/01/2012
1,028489766;1,03702182;0,99644446;0,909092283;01/02/2012
1,026897005;1,037877314;0,994965462;0,904852822;02/02/2012
1,028842881;1,047635746;0,996404278;0,905169352;03/02/2012
1,028915825;1,049288214;0,999224702;0,909332977;06/02/2012
1,041003949;1,059942231;1,008430845;0,914943854;07/02/2012
1,046270753;1,061961357;1,012576104;0,917148823;08/02/2012
1,039621661;1,057331797;1,012126126;0,921442943;09/02/2012
1,022557466;1,03544499;1,008934455;0,930882907;10/02/2012
1,027840256;1,04343623;1,0126561;0,930521804;13/02/2012
1,037633169;1,048348471;1,013647141;0,921976364;14/02/2012
1,038205827;1,05341696;1,021989312;0,93716155;15/02/2012
1,051429067;1,06600226;1,034382691;0,942040038;16/02/2012
1,048993854;1,067154585;1,035844945;0,950504959;17/02/2012
1,037427433;1,058103155;1,021500121;0,932139876;23/02/2012
1,043295681;1,065068851;1,02750252;0,937678454;24/02/2012
1,036174195;1,051256069;1,019850371;0,936520793;27/02/2012
1,056216131;1,066347217;1,033189232;0,943777307;28/02/2012
1,060790066;1,070186225;1,037900389;0,946208167;29/02/2012
1,07547915;1,088432389;1,051793036;0,957306372;01/03/2012
1,078883815;1,092428834;1,055369361;0,96262572;02/03/2012
1,07076801;1,083148513;1,051020954;0,958733369;05/03/2012
1,051937319;1,061747512;1,035005329;0,939748517;06/03/2012
1,06201856;1,071138293;1,045427975;0,955296847;07/03/2012
1,074727815;1,081440393;1,057754627;0,966450299;08/03/2012
1,081161501;1,085294119;1,068032578;0,974092693;09/03/2012
1,082214341;1,084362512;1,070546313;0,972669225;12/03/2012
1,099414857;1,104236472;1,085621285;0,992749524;13/03/2012
1,107511036;1,109410022;1,091755281;0,993617129;14/03/2012
1,093734249;1,096905546;1,084092542;0,994790675;15/03/2012
1,082251926;1,085439157;1,072994303;0,991204269;16/03/2012
1,081621343;1,085399486;1,071958947;0,990354722;19/03/2012
1,078298751;1,080498367;1,068269413;0,986830935;20/03/2012
1,083690488;1,083267355;1,075059081;0,988263555;21/03/2012
1,084331472;1,082159659;1,074488091;0,983497195;22/03/2012
1,076084624;1,074869497;1,068813624;0,972600922;23/03/2012
1,095387696;1,094326392;1,087114145;0,988200119;26/03/2012
1,092322712;1,091448693;1,085624458;0,988513921;27/03/2012
1,082787834;1,079312166;1,076393381;0,978532127;28/03/2012
1,075444775;1,074331843;1,068669524;0,973580184;29/03/2012
